username,password,phoneNumber,role,specialization
ganesha,123456,4567890123,doctor,dental
venisri,123456,0987654321,doctor,anesthesia
nithya,123456,9966611077,doctor,dermatology
madhu,123456,7416735434,doctor,neurology
chaturya_muppala,123456,2323343456,doctor,gynecology
dhanush,123456,23423456790,doctor,surgery
veni_1322,123456,1234567888,doctor,dental
username,password,phoneNumber,role,specialization
veni_12345,123456,8279717770,doctor,anesthesia
username,password,phoneNumber,role,specialization
veni_90,123,8279717789,doctor,dental
username,password,phoneNumber,role
username,password,phoneNumber,role,specialization
veni_12,777,82797177777,doctor,neurology
username,password,phoneNumber,role,specialization
veni_mallisetty,123456,6789678909,doctor,gynecology
username,password,phoneNumber,role,specialization
venimallisetty,123456,6789678909,doctor,gynecology
roy_chowdary,123456,7890789056,doctor,anesthesia
devi_sri,123456,4567845678,doctor,anesthesia
snega_v,123456,2345234509,doctor,anesthesia
revanth,123456,8688561610,doctor,neurology
